raw_transaction_string,category_label
EFT BEST BUY,Shopping
TRANSFER,Transfer/Income
CARD PURCHASE TRADER JOES 836,Groceries
CABLE T:071098,Utilities
POS SALE TARGET,Shopping
DEBIT PURCHASE DOCTOR 836,Health/Fitness
CABLE ID:GEWT57297732507583,Utilities
EFT APPLE STORE,Shopping
POS SALE RALPHS 836,Groceries
EFT LYFT 836,Transport
EFT MCDONALDS 836,Coffee/Dining
POS SALE TARGET,Shopping
COMCAST,Utilities
POS SALE RESTAURANT,Coffee/Dining
EFT CAFE,Coffee/Dining
VISA POS TARGET LOC:EAST1661,Shopping
EFT RALPHS T:071098,Groceries
EFT AMAZON.COM ID:GEWT57297732507583,Shopping
PAYROLL,Transfer/Income
CARD PURCHASE PHARMACY,Health/Fitness
POS SALE PUMP,Fuel/Gas
SALARY,Transfer/Income
PAYROLL ID:GEWT57297732507583,Transfer/Income
EFT TARGET,Shopping
DEBIT PURCHASE SUSHI LOC:EAST1661,Coffee/Dining
VISA POS APPLE STORE,Shopping
CARD PURCHASE AMAZON.COM,Shopping
DEBIT PURCHASE SUSHI 836,Coffee/Dining
DEBIT PURCHASE MARKET,Groceries
VISA POS RALPHS T:071098,Groceries
POS SALE BEST BUY 836,Shopping
VISA POS TRADER JOES T:071098,Groceries
EFT APPLE STORE T:071098,Shopping
VISA POS MARKET,Groceries
CARD PURCHASE MARKET T:071098,Groceries
WATER SERVICE,Utilities
POS SALE STARBUCKS,Coffee/Dining
CARD PURCHASE METRO RAIL T:071098,Transport
VISA POS TRADER JOES,Groceries
CARD PURCHASE EXXON 836,Fuel/Gas
POS SALE GAS STATION,Fuel/Gas
CARD PURCHASE MCDONALDS T:071098,Coffee/Dining
EFT PIZZA,Coffee/Dining
VENMO CASH IN 836,Transfer/Income
EFT MARKET,Groceries
EFT TRADER JOES ID:GEWT57297732507583,Groceries
DEBIT PURCHASE PIZZA LOC:EAST1661,Coffee/Dining
VISA POS RALPHS,Groceries
POS SALE CAFE,Coffee/Dining
EFT TOLL,Transport
CARD PURCHASE TRADER JOES T:071098,Groceries
CARD PURCHASE GROCERY,Groceries
VISA POS BEST BUY ID:GEWT57297732507583,Shopping
DEBIT PURCHASE RALPHS ID:GEWT57297732507583,Groceries
EFT BEST BUY LOC:EAST1661,Shopping
DEBIT PURCHASE PIZZA,Coffee/Dining
DEBIT PURCHASE SUSHI,Coffee/Dining
POS SALE CAFE ID:GEWT57297732507583,Coffee/Dining
POS SALE WHOLE FOODS 836,Groceries
VISA POS WHOLE FOODS,Groceries
VISA POS SUSHI T:071098,Coffee/Dining
DEBIT PURCHASE RETAIL,Shopping
POS SALE MARKET ID:GEWT57297732507583,Groceries
CARD PURCHASE MARKET,Groceries
VISA POS CAFE LOC:EAST1661,Coffee/Dining
EFT MARKET LOC:EAST1661,Groceries
PAYROLL 836,Transfer/Income
DEBIT PURCHASE AMAZON.COM T:071098,Shopping
VISA POS TRADER JOES,Groceries
EFT SHELL GAS,Fuel/Gas
POS SALE RALPHS,Groceries
CARD PURCHASE TARGET LOC:EAST1661,Shopping
EFT RALPHS ID:GEWT57297732507583,Groceries
EFT METRO RAIL,Transport
CARD PURCHASE WHOLE FOODS T:071098,Groceries
PAYROLL,Transfer/Income
DEBIT PURCHASE GYM MEMBERSHIP,Health/Fitness
EFT APPLE STORE ID:GEWT57297732507583,Shopping
EFT AMAZON.COM,Shopping
VISA POS WHOLE FOODS,Groceries
POS SALE APPLE STORE LOC:EAST1661,Shopping
PAYROLL,Transfer/Income
CARD PURCHASE AMAZON.COM 836,Shopping
EFT PIZZA,Coffee/Dining
VISA POS STARBUCKS,Coffee/Dining
CARD PURCHASE TOLL 836,Transport
VISA POS SUSHI,Coffee/Dining
EFT CAFE 836,Coffee/Dining
EFT MARKET,Groceries
EFT UBER TRIP LOC:EAST1661,Transport
EFT TRADER JOES,Groceries
VISA POS RALPHS,Groceries
EFT EXXON T:071098,Fuel/Gas
DEBIT PURCHASE EXXON T:071098,Fuel/Gas
EFT GYM MEMBERSHIP,Health/Fitness
CARD PURCHASE WHOLE FOODS,Groceries
EFT GYM MEMBERSHIP ID:GEWT57297732507583,Health/Fitness
DEBIT PURCHASE RALPHS,Groceries
POS SALE WHOLE FOODS,Groceries
POS SALE RESTAURANT 836,Coffee/Dining
VISA POS APPLE STORE,Shopping
POS SALE GROCERY 836,Groceries
EFT APPLE STORE,Shopping
POS SALE BEST BUY,Shopping
POS SALE RALPHS,Groceries
VENMO CASH IN 836,Transfer/Income
VISA POS GROCERY,Groceries
TRANSFER T:071098,Transfer/Income
VISA POS GROCERY LOC:EAST1661,Groceries
POS SALE APPLE STORE,Shopping
VISA POS RETAIL,Shopping
SALARY,Transfer/Income
EFT STARBUCKS LOC:EAST1661,Coffee/Dining
VISA POS CHEVRON,Fuel/Gas
CABLE,Utilities
EFT PIZZA T:071098,Coffee/Dining
POS SALE EXXON,Fuel/Gas
EFT TARGET,Shopping
EFT PIZZA T:071098,Coffee/Dining
POS SALE SUSHI,Coffee/Dining
CARD PURCHASE RETAIL,Shopping
DEBIT PURCHASE RALPHS,Groceries
EFT GROCERY T:071098,Groceries
DEBIT PURCHASE RETAIL,Shopping
CARD PURCHASE CAFE,Coffee/Dining
EFT RETAIL 836,Shopping
CARD PURCHASE PIZZA 836,Coffee/Dining
CARD PURCHASE PIZZA,Coffee/Dining
CARD PURCHASE APPLE STORE ID:GEWT57297732507583,Shopping
EFT APPLE STORE LOC:EAST1661,Shopping
POS SALE GYM MEMBERSHIP,Health/Fitness
EFT WHOLE FOODS T:071098,Groceries
POS SALE MARKET,Groceries
VISA POS RALPHS,Groceries
DEBIT PURCHASE BEST BUY LOC:EAST1661,Shopping
VISA POS MARKET,Groceries
POS SALE MARKET,Groceries
SALARY,Transfer/Income
POS SALE WHOLE FOODS,Groceries
VISA POS GROCERY,Groceries
DEBIT PURCHASE PIZZA 836,Coffee/Dining
CARD PURCHASE DOCTOR LOC:EAST1661,Health/Fitness
VENMO CASH IN,Transfer/Income
SALARY,Transfer/Income
CARD PURCHASE SUSHI,Coffee/Dining
POS SALE STARBUCKS,Coffee/Dining
AEP,Utilities
VENMO CASH IN,Transfer/Income
POS SALE CAFE,Coffee/Dining
VENMO CASH IN,Transfer/Income
CARD PURCHASE MCDONALDS,Coffee/Dining
EFT PIZZA,Coffee/Dining
VISA POS APPLE STORE,Shopping
EFT TARGET,Shopping
CARD PURCHASE CHEVRON,Fuel/Gas
DEBIT PURCHASE RETAIL,Shopping
EFT MARKET,Groceries
VISA POS WHOLE FOODS,Groceries
EFT STARBUCKS,Coffee/Dining
DEBIT PURCHASE SUSHI T:071098,Coffee/Dining
VENMO CASH IN,Transfer/Income
CARD PURCHASE LYFT,Transport
POS SALE STARBUCKS,Coffee/Dining
VISA POS BEST BUY,Shopping
DEBIT PURCHASE SHELL GAS,Fuel/Gas
DEBIT PURCHASE PIZZA T:071098,Coffee/Dining
DEBIT PURCHASE TRADER JOES,Groceries
TRANSFER,Transfer/Income
CARD PURCHASE CHEVRON,Fuel/Gas
EFT MARKET,Groceries
POS SALE AMAZON.COM,Shopping
VISA POS BEST BUY,Shopping
DEBIT PURCHASE STARBUCKS,Coffee/Dining
CARD PURCHASE PUMP,Fuel/Gas
VISA POS TARGET T:071098,Shopping
VENMO CASH IN,Transfer/Income
EFT CHEVRON,Fuel/Gas
TRANSFER,Transfer/Income
POS SALE TARGET,Shopping
POS SALE MARKET 836,Groceries
CARD PURCHASE SUSHI 836,Coffee/Dining
CARD PURCHASE MARKET 836,Groceries
DEBIT PURCHASE PUMP,Fuel/Gas
VISA POS TRADER JOES 836,Groceries
DEBIT PURCHASE TARGET T:071098,Shopping
POS SALE MARKET LOC:EAST1661,Groceries
PAYROLL LOC:EAST1661,Transfer/Income
EFT APPLE STORE LOC:EAST1661,Shopping
TRANSFER,Transfer/Income
CARD PURCHASE GAS STATION LOC:EAST1661,Fuel/Gas
EFT DOCTOR ID:GEWT57297732507583,Health/Fitness
VISA POS PHARMACY,Health/Fitness
DEBIT PURCHASE AMAZON.COM,Shopping
PAYROLL,Transfer/Income
VISA POS GROCERY,Groceries
EFT TRADER JOES,Groceries
VENMO CASH IN 836,Transfer/Income
PAYROLL,Transfer/Income
TRANSFER,Transfer/Income
VISA POS RESTAURANT,Coffee/Dining
POS SALE MCDONALDS,Coffee/Dining
VISA POS GAS STATION,Fuel/Gas
VENMO CASH IN,Transfer/Income
CARD PURCHASE APPLE STORE ID:GEWT57297732507583,Shopping
DEBIT PURCHASE WHOLE FOODS,Groceries
CARD PURCHASE RESTAURANT,Coffee/Dining
TRANSFER LOC:EAST1661,Transfer/Income
EFT GROCERY LOC:EAST1661,Groceries
VISA POS GROCERY T:071098,Groceries
DEBIT PURCHASE DOCTOR T:071098,Health/Fitness
VISA POS RESTAURANT LOC:EAST1661,Coffee/Dining
VISA POS MARKET ID:GEWT57297732507583,Groceries
CARD PURCHASE RESTAURANT,Coffee/Dining
POS SALE RALPHS,Groceries
DEBIT PURCHASE BEST BUY T:071098,Shopping
VENMO CASH IN,Transfer/Income
EFT TOLL,Transport
CARD PURCHASE GROCERY T:071098,Groceries
POS SALE RALPHS LOC:EAST1661,Groceries
CARD PURCHASE RESTAURANT,Coffee/Dining
CARD PURCHASE APPLE STORE,Shopping
CARD PURCHASE RESTAURANT 836,Coffee/Dining
VISA POS RALPHS,Groceries
VISA POS CHEVRON,Fuel/Gas
DEBIT PURCHASE CAFE,Coffee/Dining
POS SALE RETAIL ID:GEWT57297732507583,Shopping
CARD PURCHASE BEST BUY LOC:EAST1661,Shopping
VISA POS APPLE STORE,Shopping
POS SALE DOCTOR 836,Health/Fitness
DEBIT PURCHASE MCDONALDS LOC:EAST1661,Coffee/Dining
POS SALE MARKET T:071098,Groceries
DEBIT PURCHASE MCDONALDS,Coffee/Dining
EFT GROCERY ID:GEWT57297732507583,Groceries
EFT LYFT,Transport
VISA POS MARKET,Groceries
CABLE T:071098,Utilities
POS SALE APPLE STORE,Shopping
POS SALE WHOLE FOODS,Groceries
CARD PURCHASE MARKET,Groceries
CARD PURCHASE RESTAURANT ID:GEWT57297732507583,Coffee/Dining
EFT RALPHS,Groceries
CARD PURCHASE GROCERY T:071098,Groceries
PAYROLL ID:GEWT57297732507583,Transfer/Income
SALARY,Transfer/Income
EFT DOCTOR,Health/Fitness
EFT APPLE STORE,Shopping
POS SALE DOCTOR LOC:EAST1661,Health/Fitness
EFT MARKET,Groceries
DEBIT PURCHASE RALPHS,Groceries
COMCAST 836,Utilities
CARD PURCHASE CAFE,Coffee/Dining
POS SALE BEST BUY,Shopping
CARD PURCHASE CHEVRON ID:GEWT57297732507583,Fuel/Gas
DEBIT PURCHASE LYFT,Transport
VISA POS MCDONALDS,Coffee/Dining
VISA POS SUSHI,Coffee/Dining
CARD PURCHASE RALPHS,Groceries
POS SALE APPLE STORE ID:GEWT57297732507583,Shopping
DEBIT PURCHASE WHOLE FOODS ID:GEWT57297732507583,Groceries
CARD PURCHASE RETAIL,Shopping
CARD PURCHASE EXXON,Fuel/Gas
POS SALE UBER TRIP LOC:EAST1661,Transport
VENMO CASH IN,Transfer/Income
EFT MARKET,Groceries
VISA POS RESTAURANT,Coffee/Dining
ELEC BILL,Utilities
CARD PURCHASE APPLE STORE ID:GEWT57297732507583,Shopping
POS SALE RESTAURANT LOC:EAST1661,Coffee/Dining
PAYROLL,Transfer/Income
EFT LYFT LOC:EAST1661,Transport
DEBIT PURCHASE APPLE STORE T:071098,Shopping
POS SALE APPLE STORE,Shopping
EFT BEST BUY T:071098,Shopping
VISA POS WHOLE FOODS,Groceries
CARD PURCHASE RESTAURANT,Coffee/Dining
EFT PUMP 836,Fuel/Gas
POS SALE TRADER JOES T:071098,Groceries
COMCAST,Utilities
CARD PURCHASE TRADER JOES LOC:EAST1661,Groceries
WATER SERVICE,Utilities
DEBIT PURCHASE UBER TRIP,Transport
DEBIT PURCHASE RESTAURANT,Coffee/Dining
POS SALE CHEVRON,Fuel/Gas
EFT SHELL GAS T:071098,Fuel/Gas
CARD PURCHASE AMAZON.COM T:071098,Shopping
CARD PURCHASE RALPHS,Groceries
POS SALE METRO RAIL ID:GEWT57297732507583,Transport
VISA POS TRADER JOES 836,Groceries
DEBIT PURCHASE PUMP,Fuel/Gas
EFT MCDONALDS,Coffee/Dining
EFT EXXON 836,Fuel/Gas
VISA POS RETAIL T:071098,Shopping
CARD PURCHASE PIZZA,Coffee/Dining
POS SALE MARKET,Groceries
TRANSFER,Transfer/Income
CARD PURCHASE BEST BUY 836,Shopping
POS SALE MCDONALDS LOC:EAST1661,Coffee/Dining
DEBIT PURCHASE MCDONALDS ID:GEWT57297732507583,Coffee/Dining
ELEC BILL T:071098,Utilities
SALARY,Transfer/Income
CARD PURCHASE WHOLE FOODS,Groceries
VISA POS WHOLE FOODS 836,Groceries
DEBIT PURCHASE CHEVRON,Fuel/Gas
CARD PURCHASE RESTAURANT LOC:EAST1661,Coffee/Dining
EFT TRADER JOES T:071098,Groceries
EFT MARKET,Groceries
POS SALE GAS STATION,Fuel/Gas
EFT MARKET,Groceries
POS SALE MCDONALDS,Coffee/Dining
PAYROLL,Transfer/Income
DEBIT PURCHASE MARKET,Groceries
DEBIT PURCHASE LYFT,Transport
VISA POS BEST BUY ID:GEWT57297732507583,Shopping
ELEC BILL T:071098,Utilities
DEBIT PURCHASE AMAZON.COM LOC:EAST1661,Shopping
POS SALE UBER TRIP,Transport
VENMO CASH IN T:071098,Transfer/Income
CARD PURCHASE DOCTOR,Health/Fitness
DEBIT PURCHASE RESTAURANT LOC:EAST1661,Coffee/Dining
EFT SHELL GAS ID:GEWT57297732507583,Fuel/Gas
TRANSFER,Transfer/Income
EFT EXXON,Fuel/Gas
POS SALE MCDONALDS,Coffee/Dining
DEBIT PURCHASE MCDONALDS LOC:EAST1661,Coffee/Dining
CARD PURCHASE CAFE,Coffee/Dining
EFT DOCTOR,Health/Fitness
POS SALE SUSHI T:071098,Coffee/Dining
POS SALE RETAIL LOC:EAST1661,Shopping
DEBIT PURCHASE AMAZON.COM,Shopping
CARD PURCHASE TOLL,Transport
DEBIT PURCHASE GYM MEMBERSHIP LOC:EAST1661,Health/Fitness
CARD PURCHASE TARGET,Shopping
EFT DOCTOR,Health/Fitness
VISA POS MARKET,Groceries
DEBIT PURCHASE RALPHS LOC:EAST1661,Groceries
POS SALE STARBUCKS,Coffee/Dining
CARD PURCHASE UBER TRIP,Transport
VISA POS MCDONALDS ID:GEWT57297732507583,Coffee/Dining
VISA POS RALPHS,Groceries
POS SALE STARBUCKS ID:GEWT57297732507583,Coffee/Dining
VISA POS RETAIL,Shopping
DEBIT PURCHASE APPLE STORE,Shopping
CARD PURCHASE TRADER JOES 836,Groceries
DEBIT PURCHASE RETAIL,Shopping
VISA POS CAFE T:071098,Coffee/Dining
EFT APPLE STORE LOC:EAST1661,Shopping
DEBIT PURCHASE APPLE STORE LOC:EAST1661,Shopping
EFT GROCERY,Groceries
EFT RALPHS LOC:EAST1661,Groceries
VISA POS TRADER JOES ID:GEWT57297732507583,Groceries
POS SALE MARKET,Groceries
DEBIT PURCHASE MARKET,Groceries
POS SALE BEST BUY ID:GEWT57297732507583,Shopping
DEBIT PURCHASE RESTAURANT,Coffee/Dining
CARD PURCHASE EXXON,Fuel/Gas
EFT MARKET,Groceries
EFT RETAIL ID:GEWT57297732507583,Shopping
EFT LYFT LOC:EAST1661,Transport
DEBIT PURCHASE SHELL GAS,Fuel/Gas
VISA POS WHOLE FOODS T:071098,Groceries
DEBIT PURCHASE TRADER JOES,Groceries
DEBIT PURCHASE RETAIL,Shopping
POS SALE MARKET,Groceries
POS SALE GROCERY,Groceries
DEBIT PURCHASE PUMP,Fuel/Gas
POS SALE GAS STATION LOC:EAST1661,Fuel/Gas
CABLE,Utilities
POS SALE MCDONALDS,Coffee/Dining
EFT WHOLE FOODS,Groceries
EFT DOCTOR LOC:EAST1661,Health/Fitness
EFT RETAIL 836,Shopping
POS SALE GROCERY ID:GEWT57297732507583,Groceries
CARD PURCHASE CHEVRON,Fuel/Gas
DEBIT PURCHASE BEST BUY,Shopping
CABLE,Utilities
EFT EXXON LOC:EAST1661,Fuel/Gas
VISA POS MCDONALDS,Coffee/Dining
TRANSFER,Transfer/Income
CARD PURCHASE MCDONALDS,Coffee/Dining
DEBIT PURCHASE UBER TRIP T:071098,Transport
VISA POS WHOLE FOODS ID:GEWT57297732507583,Groceries
DEBIT PURCHASE CAFE LOC:EAST1661,Coffee/Dining
ELEC BILL T:071098,Utilities
EFT UBER TRIP LOC:EAST1661,Transport
DEBIT PURCHASE STARBUCKS,Coffee/Dining
DEBIT PURCHASE TOLL,Transport
CARD PURCHASE AMAZON.COM,Shopping
DEBIT PURCHASE GAS STATION,Fuel/Gas
POS SALE GYM MEMBERSHIP ID:GEWT57297732507583,Health/Fitness
EFT AMAZON.COM 836,Shopping
EFT AMAZON.COM ID:GEWT57297732507583,Shopping
VISA POS STARBUCKS,Coffee/Dining
VISA POS WHOLE FOODS,Groceries
CARD PURCHASE WHOLE FOODS LOC:EAST1661,Groceries
TRANSFER,Transfer/Income
POS SALE CAFE,Coffee/Dining
VISA POS TARGET LOC:EAST1661,Shopping
PAYROLL ID:GEWT57297732507583,Transfer/Income
POS SALE TRADER JOES,Groceries
EFT APPLE STORE,Shopping
VENMO CASH IN ID:GEWT57297732507583,Transfer/Income
CARD PURCHASE SHELL GAS 836,Fuel/Gas
CARD PURCHASE MARKET 836,Groceries
EFT RALPHS,Groceries
POS SALE APPLE STORE,Shopping
VISA POS CAFE,Coffee/Dining
EFT CHEVRON,Fuel/Gas
EFT PUMP,Fuel/Gas
EFT RESTAURANT,Coffee/Dining
CARD PURCHASE UBER TRIP,Transport
EFT GAS STATION,Fuel/Gas
DEBIT PURCHASE STARBUCKS,Coffee/Dining
CARD PURCHASE CAFE,Coffee/Dining
POS SALE TRADER JOES T:071098,Groceries
VENMO CASH IN,Transfer/Income
POS SALE DOCTOR,Health/Fitness
CARD PURCHASE PIZZA T:071098,Coffee/Dining
CABLE T:071098,Utilities
CARD PURCHASE CHEVRON ID:GEWT57297732507583,Fuel/Gas
ELEC BILL T:071098,Utilities
PAYROLL ID:GEWT57297732507583,Transfer/Income
CARD PURCHASE UBER TRIP,Transport
WATER SERVICE,Utilities
EFT RETAIL,Shopping
VISA POS STARBUCKS ID:GEWT57297732507583,Coffee/Dining
EFT BEST BUY ID:GEWT57297732507583,Shopping
CARD PURCHASE GYM MEMBERSHIP,Health/Fitness
VISA POS MCDONALDS LOC:EAST1661,Coffee/Dining
DEBIT PURCHASE CAFE ID:GEWT57297732507583,Coffee/Dining
COMCAST,Utilities
EFT SUSHI,Coffee/Dining
AEP,Utilities
TRANSFER T:071098,Transfer/Income
EFT AMAZON.COM T:071098,Shopping
VISA POS SUSHI,Coffee/Dining
EFT AMAZON.COM,Shopping
WATER SERVICE,Utilities
DEBIT PURCHASE MCDONALDS ID:GEWT57297732507583,Coffee/Dining
DEBIT PURCHASE MCDONALDS ID:GEWT57297732507583,Coffee/Dining
CARD PURCHASE RETAIL,Shopping
DEBIT PURCHASE EXXON,Fuel/Gas
DEBIT PURCHASE CAFE T:071098,Coffee/Dining
CARD PURCHASE RALPHS,Groceries
CABLE,Utilities
VISA POS CAFE,Coffee/Dining
DEBIT PURCHASE PIZZA,Coffee/Dining
EFT BEST BUY,Shopping
EFT RESTAURANT ID:GEWT57297732507583,Coffee/Dining
CARD PURCHASE AMAZON.COM ID:GEWT57297732507583,Shopping
POS SALE RALPHS,Groceries
DEBIT PURCHASE MARKET LOC:EAST1661,Groceries
CARD PURCHASE AMAZON.COM ID:GEWT57297732507583,Shopping
CARD PURCHASE LYFT 836,Transport
CARD PURCHASE SUSHI,Coffee/Dining
DEBIT PURCHASE SHELL GAS,Fuel/Gas
POS SALE PIZZA ID:GEWT57297732507583,Coffee/Dining
CARD PURCHASE RETAIL 836,Shopping
POS SALE GYM MEMBERSHIP,Health/Fitness
EFT PUMP 836,Fuel/Gas
POS SALE GROCERY 836,Groceries
VISA POS BEST BUY,Shopping
POS SALE TARGET 836,Shopping
CARD PURCHASE RALPHS 836,Groceries
SALARY T:071098,Transfer/Income
DEBIT PURCHASE GAS STATION 836,Fuel/Gas
EFT TARGET,Shopping
EFT CAFE ID:GEWT57297732507583,Coffee/Dining
VENMO CASH IN,Transfer/Income
POS SALE PHARMACY LOC:EAST1661,Health/Fitness
POS SALE GROCERY 836,Groceries
TRANSFER,Transfer/Income
VISA POS TARGET LOC:EAST1661,Shopping
SALARY LOC:EAST1661,Transfer/Income
EFT RALPHS LOC:EAST1661,Groceries
SALARY,Transfer/Income
EFT TRADER JOES,Groceries
DEBIT PURCHASE APPLE STORE ID:GEWT57297732507583,Shopping
VENMO CASH IN,Transfer/Income
POS SALE RETAIL,Shopping
POS SALE CAFE T:071098,Coffee/Dining
PAYROLL,Transfer/Income
VISA POS BEST BUY,Shopping
POS SALE BEST BUY 836,Shopping
EFT GYM MEMBERSHIP T:071098,Health/Fitness
DEBIT PURCHASE BEST BUY LOC:EAST1661,Shopping
DEBIT PURCHASE MARKET,Groceries
CARD PURCHASE AMAZON.COM,Shopping
EFT DOCTOR T:071098,Health/Fitness
VISA POS DOCTOR,Health/Fitness
CARD PURCHASE MARKET,Groceries
POS SALE RALPHS,Groceries
VISA POS SUSHI 836,Coffee/Dining
EFT PIZZA,Coffee/Dining
VISA POS TARGET 836,Shopping
VISA POS SUSHI T:071098,Coffee/Dining
VISA POS STARBUCKS,Coffee/Dining
VISA POS BEST BUY T:071098,Shopping
VISA POS AMAZON.COM,Shopping
VISA POS RETAIL T:071098,Shopping
TRANSFER ID:GEWT57297732507583,Transfer/Income
CARD PURCHASE RALPHS,Groceries
DEBIT PURCHASE PIZZA,Coffee/Dining
CARD PURCHASE GYM MEMBERSHIP,Health/Fitness
VISA POS APPLE STORE T:071098,Shopping
CARD PURCHASE RETAIL,Shopping
POS SALE GAS STATION T:071098,Fuel/Gas
EFT LYFT,Transport
CARD PURCHASE RESTAURANT ID:GEWT57297732507583,Coffee/Dining
EFT CHEVRON,Fuel/Gas
POS SALE AMAZON.COM,Shopping
PAYROLL,Transfer/Income
VENMO CASH IN LOC:EAST1661,Transfer/Income
VISA POS BEST BUY,Shopping
VISA POS RESTAURANT LOC:EAST1661,Coffee/Dining
PAYROLL ID:GEWT57297732507583,Transfer/Income
VISA POS STARBUCKS ID:GEWT57297732507583,Coffee/Dining
TRANSFER,Transfer/Income
POS SALE RALPHS ID:GEWT57297732507583,Groceries
VISA POS WHOLE FOODS ID:GEWT57297732507583,Groceries
POS SALE GYM MEMBERSHIP,Health/Fitness
CARD PURCHASE BEST BUY T:071098,Shopping
TRANSFER 836,Transfer/Income
POS SALE TOLL 836,Transport
VISA POS STARBUCKS,Coffee/Dining
SALARY,Transfer/Income
VISA POS TOLL T:071098,Transport
EFT GYM MEMBERSHIP T:071098,Health/Fitness
EFT TARGET T:071098,Shopping
DEBIT PURCHASE WHOLE FOODS LOC:EAST1661,Groceries
DEBIT PURCHASE SUSHI,Coffee/Dining
DEBIT PURCHASE WHOLE FOODS,Groceries
DEBIT PURCHASE GYM MEMBERSHIP ID:GEWT57297732507583,Health/Fitness
VISA POS SUSHI ID:GEWT57297732507583,Coffee/Dining
DEBIT PURCHASE SUSHI,Coffee/Dining
VISA POS AMAZON.COM T:071098,Shopping
DEBIT PURCHASE RALPHS,Groceries
PAYROLL 836,Transfer/Income
DEBIT PURCHASE PHARMACY T:071098,Health/Fitness
POS SALE WHOLE FOODS 836,Groceries
DEBIT PURCHASE UBER TRIP,Transport
CARD PURCHASE PHARMACY T:071098,Health/Fitness
POS SALE RETAIL ID:GEWT57297732507583,Shopping
CARD PURCHASE MCDONALDS T:071098,Coffee/Dining
POS SALE TARGET 836,Shopping
SALARY,Transfer/Income
VISA POS BEST BUY,Shopping
DEBIT PURCHASE APPLE STORE LOC:EAST1661,Shopping
CARD PURCHASE RALPHS,Groceries
DEBIT PURCHASE RETAIL T:071098,Shopping
VISA POS LYFT,Transport
EFT GROCERY,Groceries
EFT GROCERY T:071098,Groceries
CARD PURCHASE GYM MEMBERSHIP,Health/Fitness
VISA POS RETAIL LOC:EAST1661,Shopping
VISA POS RALPHS LOC:EAST1661,Groceries
CARD PURCHASE MARKET,Groceries
CABLE,Utilities
POS SALE TARGET,Shopping
EFT GROCERY,Groceries
DEBIT PURCHASE RALPHS,Groceries
POS SALE TARGET,Shopping
POS SALE AMAZON.COM 836,Shopping
CARD PURCHASE WHOLE FOODS,Groceries
VISA POS CAFE,Coffee/Dining
CARD PURCHASE GAS STATION 836,Fuel/Gas
EFT AMAZON.COM LOC:EAST1661,Shopping
CARD PURCHASE STARBUCKS,Coffee/Dining
PAYROLL,Transfer/Income
CARD PURCHASE WHOLE FOODS ID:GEWT57297732507583,Groceries
CARD PURCHASE TRADER JOES,Groceries
DEBIT PURCHASE RESTAURANT 836,Coffee/Dining
VISA POS GROCERY,Groceries
CARD PURCHASE AMAZON.COM,Shopping
CARD PURCHASE METRO RAIL,Transport
